744-,-,-,-,-,-
-0.019065,-0.517913,-0.073458,0.031730,0.069668,0.027957
-0.016927,-0.536100,-0.068876,0.044675,0.063573,0.015535
-0.016485,-0.540574,-0.067093,0.060157,0.055498,0.005514
-0.015842,-0.530532,-0.068645,0.072233,0.047525,-0.000502
-0.016699,-0.510161,-0.073497,0.076127,0.042804,-0.001720
-0.022106,-0.488026,-0.079217,0.070278,0.040205,0.000583
-0.028496,-0.472176,-0.083202,0.057183,0.035913,0.003175
-0.029200,-0.465625,-0.084605,0.041292,0.030279,0.004189
-0.023497,-0.469109,-0.083009,0.026852,0.027113,0.004158
-0.016583,-0.482786,-0.078296,0.017759,0.028299,0.004338
-0.014006,-0.502622,-0.071322,0.016865,0.031519,0.006757
-0.016981,-0.520457,-0.063034,0.024345,0.032183,0.013209
-0.021126,-0.530117,-0.054695,0.037924,0.028449,0.022107
-0.022811,-0.530717,-0.048976,0.054509,0.023493,0.029078
-0.025189,-0.523486,-0.047938,0.070818,0.020234,0.030056
-0.031870,-0.508906,-0.050977,0.083920,0.017166,0.022094
-0.040149,-0.488265,-0.056202,0.091857,0.012602,0.004816
-0.045953,-0.465388,-0.061625,0.093481,0.007937,-0.017763
-0.048586,-0.445391,-0.065422,0.088634,0.004878,-0.039618
-0.048761,-0.432463,-0.066602,0.078354,0.003752,-0.055792
-0.047558,-0.429352,-0.065089,0.064636,0.004390,-0.063255
-0.047248,-0.436495,-0.061597,0.050124,0.005839,-0.061472
-0.049731,-0.450385,-0.057383,0.037223,0.005399,-0.052469
-0.053420,-0.465501,-0.053728,0.027185,0.000152,-0.039796
-0.053872,-0.477806,-0.051462,0.020050,-0.009842,-0.027029
-0.048324,-0.485510,-0.050482,0.015046,-0.021611,-0.016725
-0.037305,-0.488310,-0.050240,0.011022,-0.031888,-0.010134
-0.023428,-0.486876,-0.050515,0.006793,-0.038153,-0.007052
-0.010772,-0.482678,-0.051122,0.001320,-0.039513,-0.006224
