-0-,-,-,-,-,-
-0.007879,-0.000148,-0.003464,-0.000404,0.000231,-0.000107
-0.045370,-0.000826,-0.019939,-0.002336,0.001329,-0.000604
-0.125618,-0.002213,-0.055254,-0.006504,0.003681,-0.001636
-0.232508,-0.003943,-0.102489,-0.012114,0.006866,-0.002967
-0.336131,-0.005402,-0.148515,-0.017613,0.010110,-0.004217
-0.414379,-0.006212,-0.183401,-0.021797,0.012741,-0.005139
-0.459152,-0.006424,-0.203516,-0.024204,0.014257,-0.005663
-0.474146,-0.006268,-0.210572,-0.025023,0.014462,-0.005849
-0.469374,-0.005912,-0.208880,-0.024775,0.013393,-0.005822
-0.455784,-0.005497,-0.203093,-0.024008,0.011083,-0.005706
-0.441696,-0.005124,-0.196927,-0.023148,0.007793,-0.005579
-0.431607,-0.004880,-0.192423,-0.022462,0.004316,-0.005483
-0.426832,-0.004883,-0.190003,-0.022062,0.001607,-0.005446
-0.426572,-0.005183,-0.189364,-0.021936,0.000263,-0.005465
-0.428961,-0.005625,-0.190134,-0.021989,0.000174,-0.005492
-0.432065,-0.005982,-0.191730,-0.022110,0.000570,-0.005503
-0.434528,-0.006239,-0.193381,-0.022227,0.000749,-0.005507
-0.435833,-0.006567,-0.194587,-0.022308,0.000707,-0.005494
-0.436126,-0.007004,-0.195217,-0.022349,0.000905,-0.005463
-0.435755,-0.007332,-0.195433,-0.022360,0.001429,-0.005458
-0.435022,-0.007378,-0.195541,-0.022354,0.001628,-0.005508
-0.434267,-0.007191,-0.195596,-0.022352,0.000842,-0.005597
-0.433767,-0.006877,-0.195497,-0.022361,-0.000834,-0.005696
-0.433513,-0.006525,-0.195246,-0.022358,-0.002751,-0.005774
-0.433336,-0.006232,-0.194871,-0.022321,-0.004282,-0.005791
-0.433214,-0.006053,-0.194404,-0.022242,-0.005061,-0.005750
-0.433238,-0.005859,-0.193794,-0.022132,-0.004736,-0.005673
-0.433372,-0.005476,-0.193065,-0.022052,-0.002929,-0.005578
-0.433490,-0.005016,-0.192605,-0.022062,-0.000041,-0.005507
-0.433583,-0.004732,-0.192655,-0.022158,0.002565,-0.005497
-0.433793,-0.004694,-0.193005,-0.022301,0.003759,-0.005522
